Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-25,AF,Afghanistan,EMR,0,0,0,0
2020-02-01,AF,Afghanistan,EMR,0,0,0,0
2020-02-07,AF,Afghanistan,EMR,0,0,0,0
2020-02-09,AF,Afghanistan,EMR,0,0,0,0
2020-03-09,AF,Afghanistan,EMR,3,4,0,0
2020-03-20,AF,Afghanistan,EMR,0,22,0,0
2020-03-26,AF,Afghanistan,EMR,32,74,0,1
2020-03-30,AF,Afghanistan,EMR,15,106,1,3
2020-04-17,AF,Afghanistan,EMR,73,794,4,29
2020-05-13,AF,Afghanistan,EMR,262,4664,2,121
2020-05-19,AF,Afghanistan,EMR,262,6664,1,169
2020-06-02,AF,Afghanistan,EMR,656,15750,15,265
2020-06-06,AF,Afghanistan,EMR,1078,18969,10,309
2020-06-23,AF,Afghanistan,EMR,310,29143,17,598
2020-07-04,AF,Afghanistan,EMR,302,32324,12,819
2020-07-09,AF,Afghanistan,EMR,210,33594,16,936
2020-07-10,AF,Afghanistan,EMR,59,33653,1,937
2020-07-22,AF,Afghanistan,EMR,106,35615,1,1184
2020-08-03,AF,Afghanistan,EMR,0,36710,0,1283
2020-09-03,AF,Afghanistan,EMR,47,38243,3,1409
2020-09-28,AF,Afghanistan,EMR,35,39227,0,1453
2020-10-29,AF,Afghanistan,EMR,113,41145,6,1529
2020-11-25,AF,Afghanistan,EMR,290,45278,17,1712
2020-12-10,AF,Afghanistan,EMR,174,48540,13,1921
2020-12-12,AF,Afghanistan,EMR,73,48826,10,1949
2020-12-22,AF,Afghanistan,EMR,210,50888,15,2089
2021-01-18,AF,Afghanistan,EMR,78,54062,4,2343
2021-01-24,AF,Afghanistan,EMR,36,54595,5,2378
2021-01-25,AF,Afghanistan,EMR,77,54672,7,2385
2021-02-26,AF,Afghanistan,EMR,16,55696,4,2442
2021-03-29,AF,Afghanistan,EMR,28,56322,2,2472
2021-05-23,AF,Afghanistan,EMR,242,65728,10,2802
