Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Year,Month,Day_of_week,Week_of_year,Case_Fatality_Rate,Cases_Growth_Rate,Deaths_Growth_Rate,New_cases_7day_avg,New_deaths_7day_avg,Pandemic_Phase
2020-01-25,AF,Afghanistan,EMR,0,0,0,0,2020,1,5,4,0.0,0.0,0.0,0.0,0.0,Early_Phase
2020-02-01,AF,Afghanistan,EMR,0,0,0,0,2020,2,5,5,0.0,0.0,0.0,0.0,0.0,Early_Phase
2020-02-07,AF,Afghanistan,EMR,0,0,0,0,2020,2,4,6,0.0,0.0,0.0,0.0,0.0,Early_Phase
2020-02-09,AF,Afghanistan,EMR,0,0,0,0,2020,2,6,6,0.0,0.0,0.0,0.0,0.0,Early_Phase
2020-03-09,AF,Afghanistan,EMR,3,4,0,0,2020,3,0,11,0.0,0.0,0.0,0.0,0.0,Early_Phase
2020-03-20,AF,Afghanistan,EMR,0,22,0,0,2020,3,4,12,0.0,0.0,0.0,0.0,0.0,Early_Phase
2020-03-26,AF,Afghanistan,EMR,32,74,0,1,2020,3,3,13,1.3513514,0.0,0.0,0.0,0.0,Early_Phase
2020-03-30,AF,Afghanistan,EMR,15,106,1,3,2020,3,0,14,2.8301888,0.0,0.0,0.0,0.0,Early_Phase
2020-04-17,AF,Afghanistan,EMR,73,794,4,29,2020,4,4,16,3.6523929,0.046240605,0.022220302,35.0,0.42857143,Early_Phase
2020-05-13,AF,Afghanistan,EMR,262,4664,2,121,2020,5,2,20,2.5943396,0.35638103,0.21450713,687.4286,7.571429,Early_Phase
2020-05-19,AF,Afghanistan,EMR,262,6664,1,169,2020,5,1,21,2.5360143,0.0,0.0,0.0,0.0,Early_Phase
2020-06-02,AF,Afghanistan,EMR,656,15750,15,265,2020,6,1,23,1.6825397,0.03527322,0.28885725,2154.1428,14.714286,First_Wave
2020-06-06,AF,Afghanistan,EMR,1078,18969,10,309,2020,6,5,23,1.6289736,0.0,0.0,0.0,0.0,First_Wave
2020-06-23,AF,Afghanistan,EMR,310,29143,17,598,2020,6,1,26,2.0519507,0.0,0.0,0.0,0.0,First_Wave
2020-07-04,AF,Afghanistan,EMR,302,32324,12,819,2020,7,5,27,2.533721,0.0,0.0,0.0,0.0,First_Wave
2020-07-09,AF,Afghanistan,EMR,210,33594,16,936,2020,7,3,28,2.7862117,0.0,0.0,0.0,0.0,First_Wave
2020-07-10,AF,Afghanistan,EMR,59,33653,1,937,2020,7,4,28,2.7842987,0.0,0.0,0.0,0.0,First_Wave
2020-07-22,AF,Afghanistan,EMR,106,35615,1,1184,2020,7,2,30,3.324442,0.0,0.0,0.0,0.0,First_Wave
2020-08-03,AF,Afghanistan,EMR,0,36710,0,1283,2020,8,0,32,3.4949605,0.0,0.0,0.0,0.0,First_Wave
2020-09-03,AF,Afghanistan,EMR,47,38243,3,1409,2020,9,3,36,3.6843343,0.0,0.0,0.0,0.0,First_Wave
2020-09-28,AF,Afghanistan,EMR,35,39227,0,1453,2020,9,0,40,3.7040813,0.0,0.0,0.0,0.0,First_Wave
2020-10-29,AF,Afghanistan,EMR,113,41145,6,1529,2020,10,3,44,3.716126,3.1736794,13.496933,51.0,0.5714286,First_Wave
2020-11-25,AF,Afghanistan,EMR,290,45278,17,1712,2020,11,2,48,3.7810857,0.0,0.0,0.0,0.0,First_Wave
2020-12-10,AF,Afghanistan,EMR,174,48540,13,1921,2020,12,3,50,3.9575608,0.0,0.0,0.0,0.0,First_Wave
2020-12-12,AF,Afghanistan,EMR,73,48826,10,1949,2020,12,5,50,3.9917257,0.0008378717,0.0,57.57143,0.5714286,First_Wave
2020-12-22,AF,Afghanistan,EMR,210,50888,15,2089,2020,12,1,52,4.1050935,0.0,0.0,0.0,0.0,First_Wave
2021-01-18,AF,Afghanistan,EMR,78,54062,4,2343,2021,1,0,3,4.333913,0.0,0.0,0.0,0.0,Vaccination_Phase
2021-01-24,AF,Afghanistan,EMR,36,54595,5,2378,2021,1,6,3,4.35571,0.0,0.0,0.0,0.0,Vaccination_Phase
2021-01-25,AF,Afghanistan,EMR,77,54672,7,2385,2021,1,0,4,4.362379,0.0,0.0,0.0,0.0,Vaccination_Phase
2021-02-26,AF,Afghanistan,EMR,16,55696,4,2442,2021,2,4,8,4.384516,0.0,0.0,0.0,0.0,Vaccination_Phase
2021-03-29,AF,Afghanistan,EMR,28,56322,2,2472,2021,3,0,13,4.3890486,0.00085191324,0.002038819,515.8571,3.4285715,Vaccination_Phase
